策略名稱,股票代號,股票名稱,樣本數,平均勝率,平均報酬率,平均持有天數
F14_MCTS11,5483,,2,0.5,0.73087,500.0
F14_MCTS11,5530,,3,0.0,-0.19830500000000004,500.0
F14_MCTS11,5608,,2,0.0,-0.1709155,500.0
F14_MCTS11,5903,,1,1.0,0.083724,500.0
F14_MCTS11,5904,,1,1.0,0.516043,500.0
F14_MCTS11,6120,,1,1.0,3.319161,500.0
F14_MCTS11,6121,,1,0.0,-0.169729,500.0
F14_MCTS11,6147,,1,1.0,0.324377,500.0
F14_MCTS11,6176,,1,1.0,0.460103,500.0
F14_MCTS11,6182,,1,1.0,4.070499,335.0
F14_MCTS11,6191,,1,1.0,0.779257,500.0
F14_MCTS11,6239,,1,1.0,0.347593,500.0
F14_MCTS11,6269,,2,1.0,0.228306,500.0
F14_MCTS11,6278,,2,0.5,0.0133,500.0
F14_MCTS11,6282,,2,1.0,1.051656,473.0
F14_MCTS11,6505,,2,0.5,0.008781499999999998,500.0
F14_MCTS11,8044,,1,0.0,-0.055335,500.0
F14_MCTS11,8046,,1,0.0,-0.088298,500.0
F14_MCTS11,8069,,1,1.0,1.830425,500.0
F14_MCTS11,8072,,1,1.0,0.13628,500.0
F14_MCTS11,8081,,1,0.0,-0.509359,278.0
F14_MCTS11,8101,,1,0.0,-0.51801,420.0
F14_MCTS11,8105,,1,1.0,0.546175,500.0
F14_MCTS11,8299,,4,1.0,0.48359075,466.75
F14_MCTS11,8926,,1,1.0,0.444432,500.0
F14_MCTS11,9904,,2,0.5,0.0907065,500.0
F14_MCTS11,9914,,2,1.0,1.101812,500.0
F14_MCTS11,9925,,1,1.0,0.32848,500.0
F14_MCTS11,9934,,1,1.0,0.476444,500.0
F14_MCTS11,9939,,3,0.6666666666666666,0.14992766666666665,500.0
F14_MCTS11,9945,,1,0.0,-0.08657,500.0
F14_MCTS12,1101,,2,1.0,0.2411195,500.0
F14_MCTS12,1102,,1,0.0,-0.306448,500.0
F14_MCTS12,1103,,2,1.0,0.19912400000000002,449.0
F14_MCTS12,1104,,1,1.0,0.443613,500.0
F14_MCTS12,1210,,1,1.0,0.401703,500.0
F14_MCTS12,1216,,1,1.0,0.291494,500.0
F14_MCTS12,1227,,2,0.0,-0.17797000000000002,500.0
F14_MCTS12,1301,,2,1.0,0.18837949999999998,500.0
F14_MCTS12,1303,,2,0.5,-0.1204545,500.0
